"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02"
"10025","New York","NY","New York","New York",1,,,,,,,,,,,,,,,919000,925000,940000,935000,925000,925000,890000,842000,899000,849000,895000,895000,895000,925000,925000,895000,925000,912000,950000,975000,1150000,1090000,949000,899000,897000,879000,875000,895000,940000,962500,1030000,1025000,924500,899000,899000,949000,895000,892500,995000,990000,1085000,1150000,1147000,1147000,1150000,1195000,1195000,1195000,1180000,1285000,1350000,1335000,1362500,1375000,1400000,1445000,1420000,1485000,1490000,1549000,1425000,1450000,1425000,1437500,1475000,1462500,1485000,1395000,1375000,1337500,1300000,1337500,1425000,1385000,1300000,1299944,1395000,1300000,1200000,1295000,1395000,1395000,1395000,1375000
"60657","Chicago","IL","Chicago","Cook",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382000,399900,399900,423950,415000,375000,425000,430000,439500,439000,475000,475000,439900,479000,4e+05,4e+05,425000,419500,425000,449950,4e+05,399900,392450,405000,419950,460000,449000,4e+05,349900,399900,399999.5,419500,427499.5,479000,5e+05,5e+05,534900,5e+05,499450,435000,475000,454250,479000,499950,499900,499900,492449.5,475000,475000,499900,5e+05,479500
"10023","New York","NY","New York","New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2750000,2755000,2750000,2755000,2735000,2705000,2695000,2682500,2705000,2735000,2692500,2677500,2705000,2730000,2750000,2735000,2695000,2750000,2800000,2750000,2670000
"75070","McKinney","TX","Dallas-Fort Worth","Collin",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269000,267000,268317.5,269250,269000,272000,275000,275000,275000,271995,263905,260000
"60614","Chicago","IL","Chicago","Cook",5,375000,389900,389900,399000,399900,399900,399000,399000,389950,385000,361950,359000,359000,350000,345000,350000,350000,359000,362450,377250,380000,398500,382400,399900,399900,419000,420000,422250,399000,377450,357000,355000,384900,344450,404500,415000,425000,444500,449000,460000,450000,452500,469450,454450,495000,445000,445000,490000,492500,450000,495000,462450,471950,452500,429949.5,470000,495000,475000,450000,485000,535000,544950,534950,549250,5e+05,499500,499500,499950,574950,599000,599000,599000,597000,599450,547500,541999.5,560000,550000,575000,582000,575000,599450,612500,625000,649000,649900,644500,585000,574900,599000,649500,599000,599000,636250,636250,636250,625000,592000
"10002","New York","NY","New York","New York",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2225000,2150000,2045000,2105000,1900000,2150000,2150000,2225000,2255000,2267500,2500000,2487000,2382000,2366000,2371000,2366000,2366000,2392000,2450000,2500000,2521000,2518500,2497000
"60640","Chicago","IL","Chicago","Cook",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289500,299900,269500,299900,299900,294950,324900,292000,295000,272000,279000,265000
"94109","San Francisco","CA","San Francisco","San Francisco",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1222000,1169500,1365000,1348000,1283000,1249000,1200000,1322500,1399000,1399000,1405000,1452000,1425000,1399000,1470000,1399000,1399000,1382000,1350000,1350000,1387000,1475500,1532825,1507500
"11375","New York","NY","New York","Queens",9,349000,349000,349000,339900,339900,339000,329000,329000,329000,339000,329000,339000,339000,339000,339000,339000,329694,339000,339000,329000,329000,327444,319000,309000,299000,299000,299000,327000,319000,328000,319888,325000,325000,319000,305000,299000,299000,305000,299000,299000,309000,318000,322000,325000,299950,304925,319999,317000,309000,309000,315000,325000,329000,329000,339000,339000,369000,359000,369000,359000,389443.5,399000,390000,369000,365000,389000,387000,389000,392000,399000,424999,424999,420000,424999,424999,425000,429000,438000,425000,425000,429000,449000,445000,449000,448500,449998,449999,450000,468500,467000,479000,479000,479000,467000,479000,475000,475000,502000
"32162","The Villages","FL","The Villages","Sumter",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205950,222500,209900,214900,214900,219900,206950,206950,199000,199000,209900,198900,204900,199900,194500,199000,209900,204900,209500,195000,192900,199000,199900,198450,197700,202400,202400,211950,209450,204900,214900,205950,209000,219000,207000,213750,229900,239450,244450
