"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02"
"60657","Chicago","IL","Chicago","Cook",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,937500,899000,894900,892000,892000,850000,835000,899000,894950,982500,975000,892500
"10467","New York","NY","New York","Bronx",2,495000,519000,499000,499000,489000,494000,494000,484500,472000,469000,469000,469000,469000,449995,449990,424990,425000,432000,432000,441000,432000,435000,445500,429000,425000,425000,419000,430000,437500,439000,441000,424990,419000,399000,399000,399000,399000,399000,399000,450000,464500,499000,499000,519000,519000,519000,499000,499000,499000,499000,519000,499000,499000,489000,489000,479000,479000,495000,479000,479000,495000,495000,495000,495000,495000,509500,527000,529000,529000,509000,499000,514450,499000,499000,499000,519000,529000,565000,549995,549000,549000,549000,549000,569990,599000,590000,579000,575000,577000,575000,575000,570000,550000,577000,575000,555000,559500,550000
"11226","New York","NY","New York","Kings",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,849999,849499.5,850000,849999.5,825000,799999,820000,885000,913500,950000,1042000,1150000,1050000,999000,977000,985000,999000,950000,989999,1049000
"11235","New York","NY","New York","Kings",4,650000,650000,650000,650000,656500,659000,669000,649000,650000,659000,679000,699000,699000,659000,659000,654250,689000,689000,692000,692000,684000,679500,695500,699000,695000,699000,699000,699000,691500,659000,689000,699000,719000,694000,694000,679000,679000,662500,697000,699999,720000,720000,729000,769000,720000,749000,655999,720000,737000,712000,699999,744000,749000,749500,779500,799000,787000,782000,799000,794000,799000,831500,817500,820000,810000,804500,815000,827000,821950,821950,827000,849000,899000,9e+05,942000,950000,950000,995000,955000,955000,975000,952500,979000,964000,996500,998500,1069000,999000,1019000,999999,999999,999988,999999,1099500,1149000,1124000,1199000,1100000
"60647","Chicago","IL","Chicago","Cook",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425000,469000,475000,445000,399750,369450,389000,389000,399000,399090,399750,449450,449950,432400,435000,440000,419000,424000,452500,479950,467450,449900,449900,449900,449950,432450,455000,459000,455000,490000,495000,489750,479500,499900,495000,5e+05,544500,580000,599500,594450,575000,585000
"60618","Chicago","IL","Chicago","Cook",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390000,394950,425000,424500,399950,425000,407450,387500,359000,339900,349950,349900,379000,374900,389900,394450,399900,399900,399000,397700,399999.5,434250,450000,472000,469450,471500,474950,474450,487000,476950,464900,464900,450000,450000,492000,495000,499000,512500,527000,499000,5e+05,499500,499724.5,494000,475000,469900,472450,475000
"10462","New York","NY","New York","Bronx",7,474700,475000,475000,474700,459000,450000,449500,450000,450000,459000,459000,459000,454500,450000,450000,450000,449000,449000,449000,449500,459500,449000,441500,429000,435000,449000,449500,449000,447000,442500,435000,459500,475000,470000,450000,475000,449000,450000,442000,439000,469000,469000,469000,450000,450000,469000,470000,449000,497000,529000,529000,529000,549000,549000,557500,579000,579000,575000,579000,579000,555000,555000,549000,549500,572000,579000,579000,579000,539000,549000,544000,549500,569450,577000,585000,585000,582000,549000,579000,594500,599500,605000,550000,579000,570750,542000,525000,539000,515000,537000,525000,560000,589990,589000,580000,580000,599949.5,594450
"11206","New York","NY","New York","Kings",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695000,1519500,1475000,1399000,1395000,1299000,1310000,1299000,1299000,1300000,1395000,1392500,1395000,1400000,1450000,1400000,1495000,1495000,1499000,1400000
"11230","New York","NY","New York","Kings",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1512500,1500000,1495000,1450000,1525000,1492500,1494500,1599000,1500000,1398000,1450000,1449000
"11209","New York","NY","New York","Kings",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998000,1036500,1194000,1169000,1200000,1193500,1137000,1100000,1070000,1120000,1025000,1012000,1095000,1100000,1079000,1199000,1242500,1254000,1310000,1325000,1380000,1377500,1380000,1449000,1449500,1398500,1377500,1388000,1350000,1375000,1299999,1300000,1300000,1368000,1399000,1438000,1499499.5,1458500,1399499.5,1399000,1399499.5,1409000,1418000,1421500,1409000,1425000,1437000,1399999
"60629","Chicago","IL","Chicago","Cook",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130000,127250,130000,151250,149900,149900,145450,158500,159000,169450,160000,149900,134900,135000,145900,144500,159450,159900,160000,165000,159900,159450,159900,151000,145000,159900,162450,174000,185900,187450,186400,186400,194750,187000,178950,179000,187900,188450
"60625","Chicago","IL","Chicago","Cook",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454500,464500,489450,499000,5e+05,479900,499000,489000,495000,509250,475000,480000,504950,499450,492000,467450,479000,479900,484950,498500,498950,489900,499900,507500,5e+05,499900,489900,479900,485000,495000,487892.5,497000,524950,525000,565000,575000,575000,609000,609000
