GEO.id,GEO.id2,GEO.display-label,HC01_VC04,HC01_VC05,HC03_VC49,HC03_VC50,HC03_VC56
Id,Id2,Geography,Estimate; SEX AND AGE - Total population - Male,Estimate; SEX AND AGE - Total population - Female,Percent; RACE - One race - White,Percent; RACE - One race - Black or African American,Percent; RACE - One race - Asian
8600000US00601,601,ZCTA5 00601,8704,9096,81.1,0.6,0
8600000US00602,602,ZCTA5 00602,19509,20207,57.8,2.4,0.2
8600000US00603,603,ZCTA5 00603,25208,26357,68.2,4.2,1.2
8600000US00606,606,ZCTA5 00606,3137,3183,59.2,2.8,0
8600000US00610,610,ZCTA5 00610,13528,14448,58.1,3.6,0.1
8600000US00612,612,ZCTA5 00612,30387,33497,82.8,5.2,1.1
8600000US00616,616,ZCTA5 00616,4819,5502,89.4,4.1,0
8600000US00617,617,ZCTA5 00617,11744,12904,91.9,2.3,0.4
8600000US00622,622,ZCTA5 00622,3534,3851,61.3,1.3,0
8600000US00623,623,ZCTA5 00623,20294,22417,59.9,3.4,0
8600000US00624,624,ZCTA5 00624,11665,12280,83,3.1,0.2
8600000US00627,627,ZCTA5 00627,16098,17383,79.7,2.1,0
8600000US00631,631,ZCTA5 00631,819,870,73.1,0,0
8600000US00637,637,ZCTA5 00637,11376,12637,79.2,2.5,0
8600000US00638,638,ZCTA5 00638,8607,9188,96,0.7,0
8600000US00641,641,ZCTA5 00641,14056,14869,78.3,1.5,0.9
8600000US00646,646,ZCTA5 00646,18330,19962,77,12.8,0.1
8600000US00647,647,ZCTA5 00647,2786,2925,80.8,1.7,0
8600000US00650,650,ZCTA5 00650,7123,7446,93,1.8,0.4
8600000US00652,652,ZCTA5 00652,1749,2144,88.8,1.5,0.6
8600000US00653,653,ZCTA5 00653,5809,6316,76.3,3.1,0
8600000US00656,656,ZCTA5 00656,9611,10385,83.6,2.7,0.2
8600000US00659,659,ZCTA5 00659,19913,21414,97.2,0.7,0
8600000US00660,660,ZCTA5 00660,7732,8946,35.6,1.9,0.4
8600000US00662,662,ZCTA5 00662,20446,21540,69.8,5.8,0
8600000US00664,664,ZCTA5 00664,7798,7895,86.6,0.7,0.1
8600000US00667,667,ZCTA5 00667,11937,12555,61.8,1.9,0
8600000US00669,669,ZCTA5 00669,13342,13721,79.2,0.8,0.1
8600000US00670,670,ZCTA5 00670,4497,4590,73.4,0.8,0
8600000US00674,674,ZCTA5 00674,19718,21827,85.7,4.2,0
