"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02"
"10025","New York","NY","New York","New York",1,,,,,,,,,2537.5,2575,2700,2700,2600,2750,2750,2750,2650,2800,2900,2795,2900,2825,2800,2695,2900,2750,2800,2800,2895,2900,3100,3100,3170,3200,3099,3100,3200,3250,3200,3200,3100,2925,3200,3300,3392.5,3500,3500,3395,3397.5,3390,3362.5,3450,3450,3450,3350,3440,3470,3400,3400,3400,3400,3400,3440,3445,3400,3400,3457.5,3500,3500,3500,3500,3500,3492.5,3450,3500,3500,3400,3392.5,3470,3500,3500,3500,3500,3450,3470,3470,3500,3495,3500,3500,3500,3490,3400,3500,3500,3400,3400
"60657","Chicago","IL","Chicago","Cook",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,1997.5,1900,1900,1900,1925,1995,2150,2100,2200,2000,1950,1995,1997.5,1950,1950,1900,1962.5,1900,1950,2100,2125,1995,1722.5,1800,1795,1895,1900,1950,1900,2000,2100,2100,2100,1995,1850,1825,1795,1750,1785,1750
"10023","New York","NY","New York","New York",3,,,,,,,,,,,,,,3500,3500,3395,3254,3400,3485,3600,3600,3500,3462.5,3300,3412.5,3295,3295,3450,3500,3495,3425,3450,3450,3400,3400,3400,3400,3450,3370,3300,3399.5,3400,3400,3525,3792.5,3870,3950,3925,3900,3995,4025,3870,4297.5,3950,3950,3950,4000,3950,3870,3950,3870,3900,3900,3950,3925,3950,3900,3950,3950,3875,3950,3995,3950,3985,3950,3870,3850,3800,3800,3750,3750,3750,3750,3850,3820,3850,3850,3950,3995,3972.5,3810,3775,3797.5,3810,3820,3820,3750
"60614","Chicago","IL","Chicago","Cook",4,,,,,,,,,,,,1950,1850,1708,1700,1995,1800,1800,1800,1925,1855,1872.5,1850,1849,1950,1999,2000,1875,1900,2000,2100,2100,2175,2175,1955,1895,1877.5,1800,1750,1750,1750,1720,1700,1775,2000,2100,2150,2100,2125,2100,2095,1850,2100,2225,2100,2100,2000,2200,2250,2300,2300,2185,2085,2050,2180,2099.5,2045,2000,2000,1997.5,1970,2015.5,2192.5,2180,2100,2100,2190,2297.5,2180,2125,1900,1990,2000,2040,2000,2161,2178.5,2200,2196,2335,2300,2200,2100,2100,2100,2165,2077.5
"10002","New York","NY","New York","New York",5,,,,,,,,,,,,,,,,,,,,,,2800,2550,2625,2725,2650,2550,2650,2772.5,2750,2647.5,2600,2650,2799.5,2850,2800,2800,2800,2800,2800,2834,2900,3000,2800,2697.5,2900,2700,2700,2700,2947.5,3100,2972.5,2950,3000,3000,3200,2997.5,3300,3200,3347.5,3100,3000,2800,2800,3000,3050,3150,2925,2875,2700,2700,2917,3000,2950,2700,2700,2700,2700,2700,2700,2695,2695,2695,2800,3300,3097.5,3150,3200,3175,3200,2700,2699.5,2700,2695,2695,2700,2900
"60640","Chicago","IL","Chicago","Cook",6,,,,,,,,,,,,1400,1372.5,1270,1250,1150,1115,1200,1295,1325,1300,1305,1300,1327.5,1375,1305,1297.5,1250,1200,1297.5,1350,1385,1350,1350,1275,1300,1275,1250,1200,1200,1200,1195,1225,1350,1400,1400,1400,1412.5,1350,1425,1450,1450,1550,1600,1550,1462.5,1450,1452.5,1465,1500,1550,1500,1400,1450,1503,1575,1600,1500,1450,1500,1450,1550,1532.5,1510,1475,1480,1495,1500,1462.5,1497.5,1500,1475,1495,1535,1550,1650,1575,1550,1550,1500,1500,1500,1462.5,1499.5,1495,1485,1475
"94109","San Francisco","CA","San Francisco","San Francisco",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4125,3800,3500,4000,3600,3495,3950,4145,4199.5,4200,4000,3922.5,3800,3962.5,4200,4175,3700,3550,3925,4050,4242.5
"10016","New York","NY","New York","New York",8,,,,,,,,,,,,,,,2900,2890,2970,3000,3000,2999.5,2985,2982.5,2950,2900,2995,3000,3037.5,3150,3200,3195,3195,3195,3200,3197.5,3100,3050,3075,3100,3125,3200,3200,3200,3200,3200,3400,3400,3400,3500,3500,3500,3437.5,3360,3350,3400,3500,3500,3500,3500,3500,3500,3500,3500,3450,3500,3500,3487.5,3500,3500,3500,3540,3500,3500,3500,3500,3572.5,3500,3425,3480,3500,3450,3400,3400,3395,3500,3497.5,3500,3520,3500,3550,3500,3490,3500,3500,3500,3500,3550,3400
"11375","New York","NY","New York","Queens",9,,,,,,,,,,,,,,1400,1450,1475,1497.5,1500,1562.5,1700,1700,1450,1500,1675,1600,1550,1675,1700,1700,1750,1750,1700,1700,1650,1750,1750,1750,1650,1650,1750,1750,1875,1925,1950,1872.5,2000,1825,1850,1800,1800,1775,1800,1800,1895,1950,1862.5,1900,1850,1850,1850,1950,1895,1800,1800,1850,1900,1900,2000,1900,1862.5,1900,1875,1875,1900,1950,1950,1950,1950,1950,1950,1850,1975,1925,1825,1850,1825,1850,1895,1950,1950,1900,1900,1872.5,1800,1800,1837.5,1895
"11235","New York","NY","New York","Kings",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2887.5,2500,2500,2500,2500,2487.5,2450,2500,2525,2612.5,2500,2475,2500,2500,2412.5
