"RegionName","City","State","Metro","CountyName","SizeRank","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02"
"10025","New York","NY","New York","New York",1,,,,,2517.5,2600,2600,2750,2775,2775,2750,2825,2775,2775,2700,2695,2775,2800,2895,2800,2885,2825,2997,3117,3295,3136,2995,2995,3000,3100,3199,3200,3250,3200,3200,3200,3250,3200,3200,3250,3205,3250,3295,3250,3200,3195,3000,3175,3154,3100,3150,3105,3195,3194.5,3190,3100,3095,3095,3100,3150,3195,3195,3182.5,3150,3168.5,3175,3025,3025,3240,3200,3095,3200,3295,3200,3000,3200,3097.5,3100,3111,3100,3070,3200,3250,3295,3200,3100,3115,3189.5,3145
"60657","Chicago","IL","Chicago","Cook",2,,,,,,1195,1245,1250,1350,1295,1265,1285,1295,1250,1250,1350,1475,1400,1450,1490,1600,1600,1500,1575,1545,1570,1497.5,1500,1500,1495,1525,1550,1525,1425,1475,1400,1350,1425,1410,1495,1500,1450,1495,1500,1500,1500,1445,1425,1545,1565,1595,1600,1525,1550,1650,1695,1745,1695,1525,1525,1472,1465,1466,1450,1505,1570,1575,1595,1642.5,1550,1460,1450,1500,1435,1450,1466,1525,1550,1545,1600,1650,1595,1595,1595,1590,1525,1525,1595,1550
"10023","New York","NY","New York","New York",3,,,,,,,,,,,3200,3300,3100,3147,3250,3195,3200,3195,3200,3250,3272.5,3200,3350,3300,3300,3325,3200,3200,3100,3225,3195,3200,3300,3300,3397,3495,3500,3400,3400,3400,3400,3440,3450,3450,3495,3400,3497,3408,3395,3440,3377.5,3367,3447,3470,3495,3297.5,3300,3400,3422.5,3427,3300,3295,3300,3250,3250,3272.5,3300,3300,3200,3250,3200,3275,3350,3284,3200,3165.5,3250,3200,3200,3250,3299,3400,3300,3300,3410,3362.5,3300,3375,3350
"60614","Chicago","IL","Chicago","Cook",4,,,,,1485,1440,1500,1530,1595,1500,1432.5,1519.5,1550,1625,1600,1600,1585,1585,1645,1750,1845,1770,1683,1647.5,1700,1683,1600,1697.5,1694,1695,1694.5,1842.5,1800,1835,1700,1665,1595,1665,1670,1752.5,1700,1660,1675,1650,1800,1750,1761.5,1800,1895,1950.5,1895,1943.5,1850,1700,1750,1895,2000,1895,1895,1850,1800,1950,1963.5,1897.5,1971,1900,1855,1900,1950,1850,1670,1725,1595,1650,1595,1650,1675,1750,1750,1800,1887.5,1950,1890,1877.5,1817.5,1850,1887,1850,1800
"10002","New York","NY","New York","New York",5,,,,,,,,,,,,,,,,,2500,2500,2675,2600,2600,2600,2595,2572.5,2737.5,2800,2600,2572.5,2595,2650,2695,2700,2750,2750,2750,2750,2800,2752,2735,2750,2700,2795,2795,2795,2875,2950,3045,3000,3000,3025,3100,2950,3000,2985,2950,2895,3150,3150,3197,3295,3100,3092.5,3000,3100,3095,3025,2925,2995,3300,3072.5,3195,3254,2995,3200,2979,2900,3200,3050,3050,3200,3200,3200,3195,3100,2995,2925.5,2895,2855,2887
"60640","Chicago","IL","Chicago","Cook",6,,,,,,,,,,,,,,,,,,,,,,,,,,1175,1145,1145,1130,1145,1100,1100,1122.5,1145,1145,1195,1167.5,1170,1150,1190,1175,1175,1175,1175,1175,1195,1195,1200,1200,1250,1210,1200,1200,1195,1195,1200,1217.5,1300,1280,1225,1277.5,1295,1250,1250,1275,1350,1325,1300,1300,1285,1200,1225,1247.5,1195,1195,1200,1295,1295,1350,1350,1350,1350,1350,1300,1350,1300,1380,1395,1450
"10467","New York","NY","New York","Bronx",7,,,,,,,,,,,,,,,,,,,,,,,1200,1200,1200,1175,1294,1300,1300,1250,1297.5,1293.5,1262.5,1275,1275,1250,1250,1200,1200,1249,1250,1250,1250,1200,1202.5,1250,1300,1300,1250,1280,1300,1300,1300,1300,1300,1300,1350,1400,1400,1400,1400,1400,1400,1400,1400,1400,1450,1400,1412.5,1450,1400,1450,1495,1475,1450,1462.5,1495,1475,1499,1500,1500,1500,1550,1525,1550,1500,1537.5,1550,1600
"94109","San Francisco","CA","San Francisco","San Francisco",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3772.5,3650,3395,3200,3400,3600,3600,3650,3800,3900,4000,4000,4200,4200,4000,3875,3900,3850,3900,3997.5,3995,3825,3795,3795,3625,4000,3900,3626.5,4000,4200,4030,4020,3550,3600,3500,3600,3600,3500,3450,3450,3300,3575,3550,3500,3450,3297.5,3200,3195,3497.5,3422.5,3495
"11226","New York","NY","New York","Kings",9,,,,,,,,,,,,,,1487.5,1400,1385,1300,1295,1325,1275,1350,1400,1400,1350,1400,1375,1500,1550,1500,1500,1499,1600,1700,1700,1750,1700,1600,1550,1600,1650,1650,1650,1675,1750,1795,1775,1750,1750,1800,1800,1795,1750,1750,1800,1850,1950,1850,1825,1895,1895,1950,1900,1900,1900,1900,1900,1900,1950,1997,1999,1955.5,2100,1925,2000,1849.5,1900,1900,1950,1950,1975,2000,2050,2000,2000,2000,1950,1950,1999,2000
"10016","New York","NY","New York","New York",10,,,,2500,2525,2700,2750,2800,2850,2895,2900,2900,2950,2995,2900,2900,2900,2900,2930,3095,3095,3095,3171,3150,3165.5,3125,3050,3000,3000,3000,3000,3100,3100,3170,3200,3195,3185,3100,3100,3085,3100,3125,3150,3200,3200,3450,3430.5,3395,3375,3400,3448,3395,3400,3492.5,3450,3425,3400,3395,3395,3350,3302,3300,3295,3250,3295,3295,3295,3312.5,3300,3300,3295,3350,3400,3300,3300,3223.5,3285,3300,3386,3400,3395,3400,3400,3398,3395,3300,3300,3300,3300
