"Date","RegionID","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-02-28,6181,"New York","NY","New York","Kings",0,721100,0.00501742160278746,0.0176404177250917,0.13899857842363,0.093743428448706,0.0348990966560301,"2018-02","2018-Q1",721100,0,"2018-02"
2018-02-28,12447,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",1,671000,0.00599700149925038,0.0213089802130898,0.0892857142857143,0.101398386211211,0.0229469508511304,"2018-02","2018-Q1",671000,0,"2018-02"
2018-02-28,17426,"Chicago","IL","Chicago","Cook",2,220900,-0.000904568068747173,-0.000452488687782805,0.00959780621572212,0.0553976593210661,-0.00981532283758635,"2007-02","2007-Q1",247200,-0.106391585760518,"2005-01"
2018-02-28,13271,"Philadelphia","PA","Philadelphia","Philadelphia",3,147200,0.00409276944065484,0.0229325920778318,0.0936106983655275,0.0569360792039972,0.0209810068151601,"2018-02","2018-Q1",147200,0,"2018-02"
2018-02-28,40326,"Phoenix","AZ","Phoenix","Maricopa",4,227300,0.00441891294741494,0.0120213713268032,0.0938402309913378,0.108184586788803,0.00386442803832154,"2006-07","2006-Q3",245800,-0.0752644426362897,"2005-10"
2018-02-28,18959,"Las Vegas","NV","Las Vegas","Clark",5,247700,0.0139173147769136,0.0342379958246347,0.165647058823529,0.1315896020987,-0.00144187031013454,"2006-07","2006-Q3",298100,-0.169070781616907,"2004-09"
2018-02-28,54296,"San Diego","CA","San Diego","San Diego",6,618200,0.0101307189542484,0.0310206804536358,0.116287468400144,0.0822921736793818,0.0296198639748162,"2018-02","2018-Q1",618200,0,"2018-02"
2018-02-28,38128,"Dallas","TX","Dallas-Fort Worth","Dallas",7,178600,0.00619718309859155,0.0182440136830103,0.0990769230769231,0.127767961225006,0.0405669330586551,"2018-02","2018-Q1",178600,0,"2018-02"
2018-02-28,33839,"San Jose","CA","San Jose","Santa Clara",8,1078300,0.0214075968551672,0.0762551152809662,0.239425287356322,0.131029219919155,0.0530921457968183,"2018-02","2018-Q1",1078300,0,"2018-02"
2018-02-28,25290,"Jacksonville","FL","Jacksonville","Duval",9,166100,0.00727713765918739,0.0355361596009975,0.134562841530055,0.106590942048802,0.000482917746475353,"2006-11","2006-Q4",177600,-0.0647522522522523,"2006-02"
2018-02-28,20330,"San Francisco","CA","San Francisco","San Francisco",10,1289300,0.000698540825830487,0.00852628285356696,0.10783639800653,0.112376026723688,0.0480200141603568,"2018-02","2018-Q1",1289300,0,"2018-02"
2018-02-28,10221,"Austin","TX","Austin","Travis",11,337600,0.00386559619387452,0.0180940892641737,0.078249760459917,0.0963867986307278,0.0454770846563521,"2018-02","2018-Q1",337600,0,"2018-02"
2018-02-28,17762,"Detroit","MI","Detroit","Wayne",12,44600,0.00224719101123596,-0.00223713646532438,0.161458333333333,0.05764760810874,-0.0450260070522379,"2006-01","2006-Q1",78600,-0.432569974554707,
2018-02-28,10920,"Columbus","OH","Columbus","Franklin",13,140400,0.00285714285714286,0.0248175182481752,0.096875,0.0817122652625204,0.0186608731119808,"2018-02","2018-Q1",140400,0,"2018-02"
2018-02-28,32811,"Memphis","TN","Memphis","Shelby",14,84200,0.0144578313253012,0.0420792079207921,0.0604534005037783,0.0515118184645957,-0.0016476772768319,"2007-03","2007-Q1",89700,-0.0613154960981048,"2005-08"
2018-02-28,24043,"Charlotte","NC","Charlotte","Mecklenburg",15,203600,0.0089197224975223,0.0314083080040527,0.12797783933518,0.0832508150076969,0.0240077022487988,"2018-02","2018-Q1",203600,0,"2018-02"
2018-02-28,17933,"El Paso","TX","El Paso","El Paso",16,115700,0,0.0052128583840139,0.0166959578207381,0.00261327606420148,-0.00545093072204972,"2007-12","2007-Q4",123800,-0.0654281098546042,"2006-12"
2018-02-28,44269,"Boston","MA","Boston","Suffolk",17,569500,0.00140671707402849,0.0079646017699115,0.0660801198053164,0.0887298705237438,0.0493486045722387,"2018-02","2018-Q1",569500,0,"2018-02"
2018-02-28,16037,"Seattle","WA","Seattle","King",18,740700,0.00899060073559461,0.0330543933054393,0.180398406374502,0.13462218970054,0.0493614958696369,"2018-02","2018-Q1",740700,0,"2018-02"
2018-02-28,3523,"Baltimore","MD","Baltimore","Baltimore City",19,125500,0.00560897435897436,0.00884244372990354,0.0346248969497115,0.0429525603123804,-0.00212631477458536,"2007-11","2007-Q4",129900,-0.0338722093918399,"2007-02"
2018-02-28,11093,"Denver","CO","Denver","Denver",20,407100,0.0131906421105027,0.0322008113590264,0.0887937951323883,0.114835336787827,0.0621322398977864,"2018-02","2018-Q1",407100,0,"2018-02"
2018-02-28,41568,"Washington","DC","Washington","District of Columbia",21,553600,0.00417195719209142,0.0137337483977294,0.00581395348837209,0.0709835753579773,0.0373924222506288,"2018-02","2018-Q1",553600,0,"2018-02"
2018-02-28,6118,"Nashville","TN","Nashville","Davidson",22,250200,0.0060313630880579,0.0241506344658207,0.127027027027027,0.112986601365635,0.0485085716271549,"2018-02","2018-Q1",250200,0,"2018-02"
2018-02-28,5976,"Milwaukee","WI","Milwaukee","Milwaukee",23,112500,0.00446428571428571,0.0180995475113122,0.0848601735776278,0.0513073077596982,-0.0173366188636448,"2006-04","2006-Q2",136500,-0.175824175824176,"2004-05"
2018-02-28,7481,"Tucson","AZ","Tucson","Pima",24,174700,0.00287026406429392,0.0162885398487493,0.0830750154990701,0.0640174611578794,-0.00736311041537385,"2006-06","2006-Q2",210000,-0.168095238095238,"2005-06"
2018-02-28,13373,"Portland","OR","Portland","Multnomah",25,413300,0.00437424058323208,0.0169783464566929,0.00657574281539211,0.107459181875934,0.0354589770062035,"2018-02","2018-Q1",413300,0,"2018-02"
