"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-02-28,61639,"10025","NY","New York","New York","New York",0,1178500,-0.0154553049289891,-0.0666085854585775,0.0517626059794734,0.0807197509378419,0.0470980270322092,"2017-08","2017-Q3",1302000,-0.0948540706605223,"2017-05"
2018-02-28,84654,"60657","IL","Chicago","Cook","Chicago",1,322400,0.00467435338111561,-0.00154846701765252,0.00876095118898623,0.036110926821318,-0.000278728557867369,"2017-06","2017-Q2",324800,-0.00738916256157635,"2017-04"
2018-02-28,90668,"75070","TX","Dallas-Fort Worth","Collin","McKinney",2,322000,0.000310655483069276,0.000310655483069276,0.0481770833333333,0.0967679853979391,0.0449217691816728,"2018-02","2018-Q1",322000,0,"2018-02"
2018-02-28,84616,"60614","IL","Chicago","Cook","Chicago",3,400000,0.009845998485231,0.00959111559818274,-0.0373044524669073,0.0486719714105774,0.00110670668432844,"2016-12","2016-Q4",415800,-0.037999037999038,"2016-10"
2018-02-28,93144,"79936","TX","El Paso","El Paso","El Paso",4,114400,-0.002615518744551,-0.000873362445414847,-0.00521739130434783,0.00105226469311459,-0.0116323877737992,"2007-12","2007-Q4",131100,-0.127383676582761,"2006-08"
2018-02-28,91733,"77084","TX","Houston","Harris","Houston",5,163200,0.003690036900369,0.00307314074984634,0.055627425614489,0.0795555588438761,0.0281824067348337,"2018-02","2018-Q1",163200,0,"2018-02"
2018-02-28,61807,"10467","NY","New York","Bronx","New York",6,382500,-0.00468384074941452,-0.00260756192959583,0.0669456066945607,0.0581012725175143,0.00794419835104643,"2006-10","2006-Q4",392900,-0.0264698396538559,"2006-09"
2018-02-28,84640,"60640","IL","Chicago","Cook","Chicago",7,210500,0.000951022349025202,0.00621414913957935,0.0343980343980344,0.0465110238416948,-0.0102312535562211,"2007-02","2007-Q1",238400,-0.117030201342282,"2003-09"
2018-02-28,91940,"77449","TX","Houston","Harris","Houston",8,170600,0,0.0172927847346452,0.0928891736066624,0.0881968004764826,0.0283452151564358,"2018-02","2018-Q1",170600,0,"2018-02"
2018-02-28,97564,"94109","CA","San Francisco","San Francisco","San Francisco",9,1179900,-0.00143872714962762,-0.00463978403914291,0.0433283225749403,0.0821430873141995,0.0401825990718494,"2017-12","2017-Q4",1187000,-0.00598146588037068,"2017-11"
2018-02-28,62037,"11226","NY","New York","Kings","New York",10,699400,-0.00327775402593701,0.0228136882129278,0.136866059817945,0.127931421386536,0.046417349192071,"2018-01","2018-Q1",701700,-0.00327775402593701,"2018-01"
2018-02-28,61630,"10016","NY","New York","New York","New York",11,1045700,-0.00598859315589354,-0.027436755952381,0.100273569023569,0.0828097455917813,0.0371630799627549,"2017-08","2017-Q3",1117800,-0.0645016997674003,"2017-06"
2018-02-28,71831,"32162","FL","The Villages","Sumter","The Villages",12,249300,0.00281576830249397,0.013826758845059,0.0113590263691684,0.0369875870657825,0.00532731042165002,"2007-01","2007-Q1",253900,-0.0181173690429303,"2006-10"
2018-02-28,62045,"11235","NY","New York","Kings","New York",13,622400,0.000321440051430408,0.0441201140748197,0.269426881501122,0.0974343896891328,0.0438031039082638,"2018-02","2018-Q1",622400,0,"2018-02"
2018-02-28,74101,"37013","TN","Nashville","Davidson","Nashville",14,206800,0.00632603406326034,0.034,0.161797752808989,0.098815706048877,0.0354986195313971,"2018-02","2018-Q1",206800,0,"2018-02"
2018-02-28,96107,"90250","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Hawthorne",15,613500,0.0050786369593709,0.0209685471792312,0.0881518268889677,0.10129546888655,,"2018-02","2018-Q1",613500,0,"2018-02"
2018-02-28,84646,"60647","IL","Chicago","Cook","Chicago",16,336300,0.00508069336521219,0.012646793134598,0.0237442922374429,0.087004700889004,0.0105149880591198,"2018-02","2018-Q1",336300,0,"2018-02"
2018-02-28,74242,"37211","TN","Nashville","Davidson","Nashville",17,243900,0.0037037037037037,0.0252206809583859,0.12292817679558,0.121944923365389,0.0504452357553546,"2018-02","2018-Q1",243900,0,"2018-02"
2018-02-28,84620,"60618","IL","Chicago","Cook","Chicago",18,337900,0.00326603325415677,0.0116766467065868,0.0156296964232041,0.0661495518983732,-0.00354060066329409,"2007-02","2007-Q1",351500,-0.0386913229018492,"2006-02"
2018-02-28,61703,"10128","NY","New York","New York","New York",19,1261200,-0.0206553812703836,-0.0822964418249291,0.100043610989969,0.0888846907180643,0.0342836781032259,"2017-10","2017-Q4",1396500,-0.0968850698174007,"2017-05"
2018-02-28,69816,"28269","NC","Charlotte","Mecklenburg","Charlotte",20,192700,0.00521648408972353,0.0260915867944622,0.108108108108108,0.0713954869452194,0.0188974937237769,"2018-02","2018-Q1",192700,0,"2018-02"
2018-02-28,62012,"11201","NY","New York","Kings","New York",21,1247800,-0.00724003500676267,0.00864926036698731,0.289049586776859,0.144654055199012,0.106611277770505,"2017-12","2017-Q4",1259100,-0.00897466444285601,"2017-12"
2018-02-28,93123,"79912","TX","El Paso","El Paso","El Paso",22,173900,0,-0.000574712643678161,0.0229411764705882,0.00395683260045376,-0.00755448189173602,"2007-12","2007-Q4",189700,-0.0832894043226147,"2006-08"
2018-02-28,97771,"94565","CA","San Francisco","Contra Costa","Pittsburg",23,420200,0.010339023803799,0.0301544496200049,0.106663155122465,0.175143641958948,0.0120407841127967,"2006-07","2006-Q3",470000,-0.105957446808511,"2005-05"
2018-02-28,71067,"30349","GA","Atlanta","Clayton","Riverdale",24,130700,0.0179127725856698,0.0422647527910686,0.116140051238258,0.169270198162427,-0.00129146762425669,"2006-04","2006-Q2",142400,-0.0821629213483146,"2004-10"
2018-02-28,66126,"20002","DC","Washington","District of Columbia","Washington",25,625400,0.00838439213157046,0.019563090968373,0.0344029110155475,0.0948740153626637,,"2018-02","2018-Q1",625400,0,"2018-02"
2018-02-28,96027,"90046","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",26,1393800,0.0116127159239367,0.0154451406090631,0.0845848572095557,0.109585120598334,0.0356507404522368,"2018-02","2018-Q1",1393800,0,"2018-02"
2018-02-28,92271,"78130","TX","San Antonio","Comal","New Braunfels",27,203600,0.00592885375494071,0.0164752870693959,0.0398365679264556,0.0617388448557723,0.0284475402780484,"2018-02","2018-Q1",203600,0,"2018-02"
2018-02-28,92551,"78613","TX","Austin","Williamson","Cedar Park",28,280500,-0.00637619553666312,0.000356633380884451,0.0541149943630214,0.0771973570213058,0.0337342580466098,"2017-12","2017-Q4",282900,-0.00848356309650053,"2017-12"
2018-02-28,66133,"20009","DC","Washington","District of Columbia","Washington",29,548400,0.000912575287461216,0.00182681768359518,-0.0201893871716991,0.0377739051288635,0.0210440411247816,"2017-03","2017-Q1",562100,-0.024372887386586,"2016-12"
2018-02-28,61796,"10456","NY","New York","Bronx","New York",30,350100,0.00143020594965675,0.00401491253226269,0.0683552029295087,0.0615587447140304,,"2018-02","2018-Q1",350100,0,"2018-02"
2018-02-28,74126,"37042","TN","Clarksville","Montgomery","Clarksville",31,132200,0.00532319391634981,0.0263975155279503,0.0661290322580645,0.0197235621627703,0.018924699752064,"2018-02","2018-Q1",132200,0,"2018-02"
2018-02-28,62017,"11206","NY","New York","Kings","New York",32,707400,0.0143389733295096,0.0228455754771544,0.235633187772926,0.116954476772441,0.0657234519897121,"2018-02","2018-Q1",707400,0,"2018-02"
2018-02-28,86026,"63376","MO","St. Louis","Saint Charles","Saint Peters",33,182300,0.00164835164835165,0.00275027502750275,-0.0395152792413066,0.0367508575035915,0.00519185315132664,"2017-04","2017-Q2",192300,-0.0520020800832033,"2016-10"
2018-02-28,84615,"60613","IL","Chicago","Cook","Chicago",34,215500,0.00419384902143523,0.027658559847401,0.0673600792471521,0.0429911107668934,-0.0104623729717059,"2007-09","2007-Q3",241500,-0.107660455486542,"2003-04"
2018-02-28,70829,"30044","GA","Atlanta","Gwinnett","Lawrenceville",35,182500,0.0105204872646733,0.0328239954725523,0.102053140096618,0.139963395582018,0.0136253308310956,"2018-02","2018-Q1",182500,0,"2018-02"
2018-02-28,89925,"73099","OK","Oklahoma City","Canadian","Yukon",36,159100,0.00188916876574307,0.00441919191919192,0.0146683673469388,0.025615163571566,,"2018-02","2018-Q1",159100,0,"2018-02"
2018-02-28,91685,"77036","TX","Houston","Harris","Houston",37,115800,0,0.0275066548358474,0.142011834319527,0.103405286436987,0.0362600858023387,"2016-08","2016-Q3",117500,-0.014468085106383,"2016-07"
2018-02-28,91926,"77433","TX","Houston","Harris","Cypress",38,225900,0,0.010738255033557,0.10034096444228,0.0511887700262119,0.0272174521515245,"2016-04","2016-Q2",229400,-0.0152571926765475,"2016-01"
