"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02"
"60657","Chicago","IL","Chicago","Cook",1,560000,559950,549000,549000,549000,534823,539000,528000,528000,549900,549000,549000,545000,549000,549900,549000,549000,533700,531250,549000,525000,549900,515750,499900,485000,499450,549000,549450,549450,549000,524900,519000,524900,529000,575000,581375,599000,629404,599000,599000,619450,602450,599000,609000,650000,662500,609000,650000,637500,627500,627500,662450,675000,679000,649900,569000,565000,567000,599900,577000,599450,629950,629000,649000,675000,675000,695000,695000,710000,695000,695000,702500,710000,719950,709900,725000,725000,727500,704950,712500,735000,749900,794500,799000,760000,749999,765000,750000,765000,762500,739950,739950,739950,749900,749950,749000,724500,737000
"10023","New York","NY","New York","New York",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3250000,3695000,3295000,3622500,3500000,3685000,3612500,3685000,3472500,3622500,3550000,4e+06,4e+06,3995000,3952000,3922000,3899000,3875000,4230000,4335000,3977500,4265000,3995000,3900000,3845000,3850000,3875000,3990000,3950000,4050000,4095000,4170000,4275000,4210000,4305000,4155000,4140000,4110000,4110000,4080000,4599000,4922500,4995000,4995000
"77494","Cinco Ranch","TX","Houston","Fort Bend",3,199900,209900,203002,199999,199585,193450,194500,189500,189500,184990,184990,184990,184270.5,184745.5,182820,185000,184990,195000,197370,190495,186639,185000,183470,182970,185990,189900,189974,192745,191950,194490,197490,199250,2e+05,205166,217990,219900,217990,227990,229500,234990,238490,250000,245990,249000,253675.5,272494.5,271990,266990,267490,268886.5,269791.5,276990,282990,270000,280000,281995,3e+05,295745,309990,304490,312347,298995,299900,299909,299500,288959.5,291950,306310.5,306782.5,302705,305018,308990,311000,282900,275000,279245,274900,276990,275200,275000,279990,282649.5,281740,285000,292740,285000,283990,285000,280000,269999.5,268495,275000,275000,274990,270000,270000,269990,269900
"75070","McKinney","TX","Dallas-Fort Worth","Collin",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281990,290000,3e+05,295000,294860,289900,291000,299845,305306.5,305990,312000,339000,335000,320060,318826.5,324900,313759,308092,306514.5,320000,324942,325000,328800,330058,334895
"60614","Chicago","IL","Chicago","Cook",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1059000,950000,949000,965000,925000,949000,949000,957450,970000,998500,975000,950000,925000,899000,949500,949000,854950,854950,799950,799900,869000,875000,887500,899900,909450,899900,899000
"79936","El Paso","TX","El Paso","El Paso",6,123000,119900,122000,122000,123000,124900,125000,127950,127950,129500,129500,128950,125450,124900,119900,119250,119900,127500,124925,120000,120000,121500,121700,121900,123975,123900,124000,124900,119900,124900,125000,122250,115000,115000,119000,119450,119000,122500,120000,124900,123900,123000,124500,124800,124500,125000,122000,123950,122770,122000,124450,126000,123000,126000,125000,123950,124000,119950,118950,119835,119900,121000,121475,121450,123250,123000,122900,125000,125000,122999.5,124950,122475,120000,120000,122000,119000,120000,122125,122900,124450,124925,124499.5,124000,125400,123500,124950,129900,129900,128500,128225,125250,127900,128000,126970,124950,128000,129100,129680
"77084","Houston","TX","Houston","Harris",7,105000,105000,109000,110000,110000,109900,109900,109900,110000,109900,110000,105000,104700,101900,99900,103500,101460,1e+05,1e+05,99900,98975,96950,95000,96800,95000,95000,95950,97250,98000,98000,99500,99000,99900,1e+05,105000,109000,109000,114000,115500,116950,120000,124700,122900,121000,120950,124700,124974,125000,124900,128600,129900,130000,129900,130000,130650,130000,130000,135000,134000,139900,139900,139900,139900,139000,145000,145000,148800,149500,151990,153500,151990,154900,152500,152500,154995,159900,156700,158450,159900,159900,159900,160000,159900,159900,159910,164945,165000,168749.5,169000,167900,166495,169900,170000,160000,154900,157000,159900,164950
"00926","San Juan","NC","Durham","Chatham",8,,,,,,,,,,,,,,,,,,,186500,188000,189000,180000,175000,180000,189000,189000,195000,180000,179500,179000,175000,181000,185000,179000,177000,175000,184000,187000,182000,175000,170000,185000,184000,174000,171000,167000,170000,167000,155000,163250,172500,158700,154999,159000,159000,165000,152000,152000,153000,155000,165000,161450,155000,155000,150000,155000,159997.5,149450,149000,145500,145000,145000,148950,157000,146500,145000,145000,145000,145000,142750,139000,139500,148000,149000,142500,139997.5,140000,140000,140000,137000,135000,125000,126500,125000,125000,126500,129500,129000
"77449","Houston","TX","Houston","Harris",9,105000,109000,109900,109250,106650,107441,109900,107500,111900,110000,111000,109900,107695,105000,104450,104900,105000,109000,107000,104900,103000,99995,99900,99900,99997.5,102925,105000,101900,102000,106000,114068,114500,114900,115000,122445,119900,119990,124900,124900,133220,132900,132060,134070,129950,135000,141000,143000,147250,150350,149600,148000,149900,147945,143425,144000,145990,151995,153450,153000,161880.5,165000,169950,163900,157990,155000,153000,159450,160000,160000,163990,163990,166725,169972.5,169247.5,169000,169700,170000,169900,169000,166450,165000,169000,169000,164900,160000,165000,169900,170000,174900,173950,170450,174900,173950,175000,179500,179900,179950,179900
"32162","The Villages","FL","The Villages","Sumter",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262900,309000,322450,294805.5,297450,279350,264000,249900,244000,252900,251325,249900,249450,249900,244000,245000,245000,247250,247200,252450,249000,239700,244700,246850,244000,249500,242000,249450,248950,239900,234900,239950,239450,239000,254450,249450,259000,274900,274900,274900,289500,264800,259900
