"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02"
"60657","Chicago","IL","Chicago","Cook",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1222450,1245000,1295000,1199000,1187000,1222000,1297000,1275000,1250000,1199000,997000,995000,1150000,1185000,1087450,1099900,1197000,1217500,1200000,1199000,1e+06,1150000,1200000,1284950,1284950,1250000,1374500,1425000,1449000,1399000,1399000,1298500,1348500,1449900,1497500,1522500,1545000,1450000,1462500,1548000,1475000,1550000,1550000,1549750,1499700,1525000,1574000,1515000,1489000,1499000,1499000,1499000,1499000,1499000,1499000,1499000,1499450,1485000,1450000,1449450,1449900,1464450,1498450,1499250,1498450,1499500,1499000,1499000,1562500,1535000,1650000
"77494","Cinco Ranch","TX","Houston","Fort Bend",2,420266,420266,434900,420900,418153.5,416000,405210,4e+05,389950,388665.5,387389.5,391205.5,384900,379500,389900,389000,380578,384000,389999,380001,387511,380566,379900,379900,379900,384101,409140,416308.5,419000,409900,399258,419900,419472,412000,409950,420000,419950,428739,427500,440000,459999,450000,450000,447900,450445,458900,466235,469900,496026.5,499900,513990,539900,539909,533750,539995,541384,545605.5,539500,539995,529941,527410,527441,532000,541392.5,528481,524999.5,499990,480000,499990,499999,474900,469000,5e+05,469975,479950,489900,489900,489000,482900,484064.5,482569.5,478450,467995,472500,479950,489950,498944,499000,499900,517990,499900,490000,479984,482990,477640.5,499450,510000,524900
"75070","McKinney","TX","Dallas-Fort Worth","Collin",3,375000,389900,370500,375000,365000,362500,354900,350800,356950,356950,349992,349000,322900,322900,339900,344900,338950,369000,369000,345400,315000,305192.5,300995,3e+05,335000,340000,310450,355450,379900,372000,369900,349860,349860,340900,360660,369000,381945,388995,394995,385990,385423,398831,389900,389945,405990,403018,417900,400990,401990,403990,428990,433329.5,427691,436990,436990,439500,452023,448990,435990,472400,495490,485000,475000,475798,480000,458470,461511,427990,433495,470333,472000,459900,449950,458000,465433,469900,465866,479000,479950,492548,491274,488000,482048,482048,482048,474500,495000,512985.5,506284,514142,509321,510284,509150,504150,510356,524304,499900,5e+05
"60614","Chicago","IL","Chicago","Cook",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2197500,1965000,2e+06,1925000,2195000,2047500,2149000,2195000,2295000,2124500,2300000,2395000,2249000,2072000,2124000,2249000,2625000,2595000,2750000,2395000,2695000,2695000,2649000,2397500,2400000,2450000,2335000,2295000,2195000,2195000,2074500,2099000,2249000,2325000,2545000,2325000,2285000,2295000,2495000,2399000,2395000,2395000,2350000,2300000,2500000,2599999,2550000,2697500
"60640","Chicago","IL","Chicago","Cook",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,862500,899900,949000,949000,949000,899950,9e+05,9e+05,9e+05,884000,850000,937500
"60647","Chicago","IL","Chicago","Cook",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494000,464000,482000,504949.5,499900,475000,479999,439990,459000,464000,459000,489000,492450,522000,559000,549800,515000,499000,549000,579900,575000,529499.5,529949.5,519000,537499.5,529999,542000,549000,549500,589700,559000,559500,580000,599900,599950,623500,6e+05,624500,649450,679949.5,650000,629900,644450
"60618","Chicago","IL","Chicago","Cook",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675000,675000,679000,650000,654950,649000,647000,625000,677500,699000,712000,689000,699000,765000,727500,732000,699000,659000,640000,640000,664000,667000,717450,695000,749450,772200
"78660","Pflugerville","TX","Austin","Travis",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363990,359000,372604,370975,372000,368040,359695,359990,369950,375490,374990,379260.5
"77573","League City","TX","Houston","Galveston",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425109.5,407445,403990,389500,395500,386745,386745,389500,386745,413329.5,419990,419990,413494.5,417329.5,419990,413500,415466,414490,407490,400990,400990,399990,400990
"78572","Mission","TX","McAllen","Hidalgo",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395000,390000,386000,386000,415000,367950,395000,388000,390000,390000,419000,419000,424000,419000,419000,415000,407000,399000,399000,414498.5,434000,439500,479500,515000,434500,395500,409500,420000,399000,392000,412450,445500,439000,425000,399000,392950,350000,350000,350000,360000,378750,422450,399900,398700,397500,398700,410000,399450,399900,399900,397500,380000,379500,382500,354500
