"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-02-28,"10025","NY","New York","New York","New York",0,3509,-0.00538548752834467,-0.0187360178970917,-0.0129395218002813,22431
2018-02-28,"60657","IL","Chicago","Cook","Chicago",1,1872,-0.0026638252530634,-0.0131787032156036,-0.00425531914893617,32223
2018-02-28,"10023","NY","New York","New York","New York",2,3782,-0.0127903941529627,-0.0349578974228119,-0.0140771637122002,29114
2018-02-28,"75070","TX","Dallas-Fort Worth","Collin","McKinney",3,1908,-0.00365535248041775,-0.0108864696734059,-0.0154798761609907,28948
2018-02-28,"77494","TX","Houston","Fort Bend","Cinco Ranch",4,2191,0.00412465627864345,0.0148216767021769,0.0247895229186155,31576
2018-02-28,"60614","IL","Chicago","Cook","Chicago",5,2072,-0.00528084493518963,-0.0244821092278719,-0.0217186024551464,33150
2018-02-28,"79936","TX","El Paso","El Paso","El Paso",6,1002,0.000999000999000999,0.00906344410876133,0.0100806451612903,31486
2018-02-28,"77084","TX","Houston","Harris","Houston",7,1445,0.00208044382801664,0.00696864111498258,0.00837404047452896,26718
2018-02-28,"10002","NY","New York","New York","New York",8,3692,-0.0067258541834813,-0.0237969328397673,0.0126165660998354,9172
2018-02-28,"10467","NY","New York","Bronx","New York",9,1802,0.000555247084952804,0.0112233445566779,0.0713436385255648,7339
2018-02-28,"60640","IL","Chicago","Cook","Chicago",10,1608,0.00311915159076731,0,0.00878293601003764,22477
2018-02-28,"77449","TX","Houston","Harris","Houston",11,1446,0.00138504155124654,0.00626304801670146,0.00696378830083566,31979
2018-02-28,"94109","CA","San Francisco","San Francisco","San Francisco",12,4392,0.00136798905608755,-0.00362976406533575,-0.0136986301369863,9561
2018-02-28,"11226","NY","New York","Kings","New York",13,2291,0.00262582056892779,0.0168664003550821,0.0577100646352724,10575
2018-02-28,"10016","NY","New York","New York","New York",14,3658,-0.00894066648604714,-0.0266098988823842,0.0066042927903137,26908
2018-02-28,"11375","NY","New York","Queens","New York",15,2103,0.000951927653498334,0.00333969465648855,-0.0204937121564974,22413
2018-02-28,"11235","NY","New York","Kings","New York",16,2285,0.000876040297853701,0.00794000882223202,0.0115095174856131,16914
2018-02-28,"37013","TN","Nashville","Davidson","Nashville",17,1456,0.00275482093663912,0.00691562932226833,0.0260747004933051,22726
2018-02-28,"90250","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Hawthorne",18,2683,0.00224131490474412,0.0139833711262283,0.0634165675782798,14870
2018-02-28,"60647","IL","Chicago","Cook","Chicago",19,1790,0.00111856823266219,-0.00665926748057714,0.0170454545454545,20165
