"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-02-28,"10025","NY","New York","New York","New York",0,3634,-0.00710382513661202,-0.0225927918235611,-0.0196924736984084,11590
2018-02-28,"60657","IL","Chicago","Cook","Chicago",1,2071,-0.00192771084337349,-0.0133396855645545,-0.0114558472553699,19955
2018-02-28,"10023","NY","New York","New York","New York",2,3927,-0.0167751627441162,-0.0489222572051344,-0.00607441154138193,16863
2018-02-28,"75070","TX","Dallas-Fort Worth","Collin","McKinney",3,1925,-0.00259067357512953,-0.0072202166064982,-0.0118069815195072,27381
2018-02-28,"77494","TX","Houston","Fort Bend","Cinco Ranch",4,2259,0.00534045393858478,0.0116435288849082,0.0198645598194131,26710
2018-02-28,"60614","IL","Chicago","Cook","Chicago",5,2272,-0.00525394045534151,-0.0160242529233434,-0.0315430520034101,22779
2018-02-28,"79936","TX","El Paso","El Paso","El Paso",6,1014,-0.00196850393700787,0.00396039603960396,0.014,29177
2018-02-28,"77084","TX","Houston","Harris","Houston",7,1444,0.00208188757807078,0.00697350069735007,0.00979020979020979,25525
2018-02-28,"10002","NY","New York","New York","New York",8,3672,-0.00298669562856367,-0.018968741651082,0.0231262190025077,3802
2018-02-28,"10467","NY","New York","Bronx","New York",9,1793,0.00167597765363128,0.0118510158013544,0.0717274357441721,1043
2018-02-28,"60640","IL","Chicago","Cook","Chicago",10,1658,0.00120772946859903,0.00181268882175227,0.00545785324439054,15051
2018-02-28,"77449","TX","Houston","Harris","Houston",11,1444,0.00208188757807078,0.00697350069735007,0.0104968509447166,29511
2018-02-28,"94109","CA","San Francisco","San Francisco","San Francisco",12,4419,0.00363388598682716,0.00226808800181447,-0.00584926884139483,6444
2018-02-28,"11226","NY","New York","Kings","New York",13,2403,-0.000415973377703827,0.0113636363636364,0.0393598615916955,2383
2018-02-28,"10016","NY","New York","New York","New York",14,3741,-0.00266595574513463,-0.0113636363636364,0.0190683737401253,12425
2018-02-28,"11375","NY","New York","Queens","New York",15,2115,0.00142045454545455,0.0023696682464455,-0.0171933085501859,14260
2018-02-28,"11235","NY","New York","Kings","New York",16,2318,-0.00172265288544358,0.010462074978204,0.0126692878986457,8672
2018-02-28,"37013","TN","Nashville","Davidson","Nashville",17,1457,0.00275292498279422,0.00552104899930987,0.0210231254379818,20170
2018-02-28,"90250","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Hawthorne",18,2792,0.00540151242347857,0.0160116448326055,0.0697318007662835,10712
2018-02-28,"60647","IL","Chicago","Cook","Chicago",19,1988,-0.00250878073256397,-0.016328550222662,0.0158405723045478,11867
2018-02-28,"37211","TN","Nashville","Davidson","Nashville",20,1582,0,0.00253485424588086,0.0449141347424042,18679
2018-02-28,"10009","NY","New York","New York","New York",21,4152,-0.0109575988565984,-0.0435383552176918,-0.015647226173542,1910
2018-02-28,"78660","TX","Austin","Travis","Pflugerville",22,1630,-0.00305810397553517,-0.00427611484422724,-0.00972053462940462,21745
2018-02-28,"60618","IL","Chicago","Cook","Chicago",23,1998,-0.00249625561657514,-0.014792899408284,-0.00843672456575682,13018
2018-02-28,"10029","NY","New York","New York","New York",24,3389,-0.00440658049353702,-0.015398024404416,-0.00352837400764481,1569
2018-02-28,"10011","NY","New York","New York","New York",25,4386,-0.0112714156898106,-0.0506493506493507,-0.0285714285714286,10867
2018-02-28,"10128","NY","New York","New York","New York",26,3724,-0.00931098696461825,-0.0309653916211293,0.0114068441064639,11139
2018-02-28,"77573","TX","Houston","Galveston","League City",27,2005,0.000998502246630055,0.00551654964894684,0.00551654964894684,24390
2018-02-28,"77584","TX","Houston","Brazoria","Pearland",28,1891,0.00318302387267905,0.00585106382978723,-0.018681888946549,21614
2018-02-28,"28269","NC","Charlotte","Mecklenburg","Charlotte",29,1366,0.00293685756240822,0.0118518518518519,0.0467432950191571,25170
2018-02-28,"11201","NY","New York","Kings","New York",30,2999,-0.00530679933665008,-0.0147831800262812,0.0369986168741355,9360
2018-02-28,"79912","TX","El Paso","El Paso","El Paso",31,1260,0,-0.000793021411578113,-0.0102120974076984,19142
2018-02-28,"78572","TX","McAllen","Hidalgo","Mission",32,1079,0.00746965452847806,0.0375,0,18773
2018-02-28,"94565","CA","San Francisco","Contra Costa","Pittsburg",33,2238,-0.000446627958910228,0.00268817204301075,0.0616698292220114,21290
2018-02-28,"30349","GA","Atlanta","Clayton","Riverdale",34,1145,0.00262697022767075,0.0105913503971756,0.0671015843429636,22468
2018-02-28,"20002","DC","Washington","District of Columbia","Washington",35,2723,-0.00692924872355945,-0.0190922190201729,-0.00183284457478006,13747
2018-02-28,"90046","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",36,4872,0.00370828182941904,0.0133111480865225,0.0280649926144756,8039
2018-02-28,"78130","TX","San Antonio","Comal","New Braunfels",37,1488,-0.000671591672263264,0,0.0177838577291382,19318
2018-02-28,"78613","TX","Austin","Williamson","Cedar Park",38,1746,0.00172117039586919,0.00229621125143513,0.00518134715025907,22080
2018-02-28,"20009","DC","Washington","District of Columbia","Washington",39,2744,-0.00651701665459812,-0.0224438902743142,-0.0227920227920228,11751
2018-02-28,"75052","TX","Dallas-Fort Worth","Dallas","Grand Prairie",40,1600,0.00313479623824451,0.00946372239747634,0.0362694300518135,23914
2018-02-28,"10462","NY","New York","Bronx","New York",41,1615,-0.0170419963481436,-0.0104166666666667,-0.0432464454976303,13334
2018-02-28,"10456","NY","New York","Bronx","New York",42,1912,0.00104712041884817,0.00157150340492404,0.0419618528610354,674
2018-02-28,"37042","TN","Clarksville","Montgomery","Clarksville",43,956,0.00104712041884817,0.00737618545837724,0.0191897654584222,24053
2018-02-28,"10003","NY","New York","New York","New York",44,4296,-0.00693481276005548,-0.0280542986425339,0.0349313418453385,8582
2018-02-28,"77429","TX","Houston","Harris","Cypress",45,1768,0.00683371298405467,0.0172612197928654,0.00511654349061967,24171
2018-02-28,"11206","NY","New York","Kings","New York",46,2726,0.0051622418879056,0.010752688172043,0.00925583117363939,2628
2018-02-28,"63376","MO","St. Louis","Saint Charles","Saint Peters",47,1453,0.00553633217993079,0.0104311543810848,0.0175070028011204,25642
2018-02-28,"60613","IL","Chicago","Cook","Chicago",48,1663,-0.0012012012012012,-0.0012012012012012,-0.0012012012012012,17233
2018-02-28,"77479","TX","Houston","Fort Bend","Sugar Land",49,2312,0.00478053020425902,0.00478053020425902,-0.0306079664570231,25517
2018-02-28,"30044","GA","Atlanta","Gwinnett","Lawrenceville",50,1370,0.00735294117647059,0.0163204747774481,0.0514198004604758,22689
2018-02-28,"73099","OK","Oklahoma City","Canadian","Yukon",51,1240,0.00161550888529887,0.00242522231204527,0.00813008130081301,24628
2018-02-28,"77036","TX","Houston","Harris","Houston",52,1290,0.0031104199066874,0.016548463356974,0.0117647058823529,9968
2018-02-28,"77433","TX","Houston","Harris","Cypress",53,1799,0.00727883538633819,0.0204197390811117,0.00502793296089385,20591
2018-02-28,"10463","NY","New York","Bronx","New York",54,2082,-0.00620525059665871,-0.0220760920620009,-0.000959692898272553,2307
2018-02-28,"11230","NY","New York","Kings","New York",55,2403,-0.00907216494845361,-0.0139515798112433,0.00754716981132076,5850
2018-02-28,"60629","IL","Chicago","Cook","Chicago",56,1442,0.00138888888888889,-0.00345542501727712,0.0076869322152341,18932
2018-02-28,"11209","NY","New York","Kings","New York",57,2395,-0.00249895876718034,0.0054575986565911,0.0131133671742809,6730
2018-02-28,"60625","IL","Chicago","Cook","Chicago",58,1820,-0.000549148819330038,-0.00273972602739726,0.0111111111111111,10595
