"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-02-28,"10025","NY","New York","New York","New York",0,3502,-0.0056785917092561,-0.019047619047619,-0.0135211267605634,21508
2018-02-28,"60657","IL","Chicago","Cook","Chicago",1,1836,-0.00108813928182807,-0.0123722431414739,-0.00541711809317443,28906
2018-02-28,"10023","NY","New York","New York","New York",2,3778,-0.0122875816993464,-0.0347470618293306,-0.0128037627384374,27716
2018-02-28,"75070","TX","Dallas-Fort Worth","Collin","McKinney",3,1718,-0.00058173356602676,-0.00348027842227378,-0.0132107983917289,1337
2018-02-28,"77494","TX","Houston","Fort Bend","Cinco Ranch",4,1611,0.00373831775700935,0.0100313479623824,0.00624609618988132,471
2018-02-28,"60614","IL","Chicago","Cook","Chicago",5,2011,-0.00593178447849728,-0.0233122875182127,-0.0166259168704156,28458
2018-02-28,"79936","TX","El Paso","El Paso","El Paso",6,854,0,0.00588928150765607,0,2212
2018-02-28,"77084","TX","Houston","Harris","Houston",7,1305,0.00153491941673062,0.00694444444444444,0.00230414746543779,1140
2018-02-28,"10002","NY","New York","New York","New York",8,3676,-0.00514208389715832,-0.0220803405160947,0.0143487858719647,8908
2018-02-28,"10467","NY","New York","Bronx","New York",9,1797,0.0011142061281337,0.0141083521444695,0.0696428571428571,6082
2018-02-28,"60640","IL","Chicago","Cook","Chicago",10,1574,0.00254777070063694,-0.000634920634920635,0.00832799487508008,20422
2018-02-28,"77449","TX","Houston","Harris","Houston",11,1390,0.00216294160057678,0.0160818713450292,-0.00997150997150997,342
2018-02-28,"94109","CA","San Francisco","San Francisco","San Francisco",12,4289,0.00163475011676787,-0.00717592592592593,-0.0241183162684869,8799
2018-02-28,"11226","NY","New York","Kings","New York",13,2246,0.00357462019660411,0.0176710466696874,0.0594339622641509,8987
2018-02-28,"10016","NY","New York","New York","New York",14,3640,-0.00871459694989107,-0.024390243902439,0.00524716929025131,25706
2018-02-28,"11375","NY","New York","Queens","New York",15,2087,0.00143953934740883,0.00723938223938224,-0.0197275716298732,17055
2018-02-28,"11235","NY","New York","Kings","New York",16,2259,0.00177383592017738,0.00623608017817372,0.0171094101755966,14232
2018-02-28,"37013","TN","Nashville","Davidson","Nashville",17,1263,0.00397456279809221,0.00238095238095238,0.0218446601941748,3613
2018-02-28,"90250","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Hawthorne",18,2464,-0.00121605188488042,-0.00884955752212389,0.0165016501650165,5556
2018-02-28,"60647","IL","Chicago","Cook","Chicago",19,1716,0.000583090379008746,-0.00866551126516464,0.017190278601067,14535
2018-02-28,"37211","TN","Nashville","Davidson","Nashville",20,1270,-0.00470219435736677,-0.000786782061369001,0.0135674381484437,4720
2018-02-28,"10009","NY","New York","New York","New York",21,3750,-0.00924702774108322,-0.0337541870651894,-0.00635930047694754,8912
2018-02-28,"78660","TX","Austin","Travis","Pflugerville",22,1506,0.00266311584553928,-0.00264900662251656,0.0114170584284755,866
2018-02-28,"60618","IL","Chicago","Cook","Chicago",23,1652,0,-0.00601684717208183,0.0178681454097351,12787
2018-02-28,"10029","NY","New York","New York","New York",24,2955,-0.00938652363392558,-0.0182724252491694,-0.0136849132176235,5471
2018-02-28,"10011","NY","New York","New York","New York",25,4211,-0.0124296435272045,-0.0352806414662085,0.00765733429050012,20420
2018-02-28,"10128","NY","New York","New York","New York",26,3332,-0.00566994926887496,-0.00209643605870021,-0.00566994926887496,21764
2018-02-28,"77573","TX","Houston","Galveston","League City",27,1346,0.00748502994011976,0.0196969696969697,0.0189250567751703,1168
2018-02-28,"28269","NC","Charlotte","Mecklenburg","Charlotte",28,1197,0.00419463087248322,0.0126903553299492,0.0463286713286713,3295
2018-02-28,"11201","NY","New York","Kings","New York",29,2916,-0.00511770726714432,-0.014531936465022,0.0192240475358266,18911
2018-02-28,"79912","TX","El Paso","El Paso","El Paso",30,1058,-0.000944287063267233,-0.0084348641049672,-0.000944287063267233,2021
2018-02-28,"78572","TX","McAllen","Hidalgo","Mission",31,844,-0.0105509964830012,-0.0265282583621684,-0.0208816705336427,826
2018-02-28,"94565","CA","San Francisco","Contra Costa","Pittsburg",32,1902,0.00157977883096367,0.00581702802749868,0.0231307154384077,1275
2018-02-28,"30349","GA","Atlanta","Clayton","Riverdale",33,1017,0.00693069306930693,0.0200601805416249,0.0660377358490566,2187
2018-02-28,"20002","DC","Washington","District of Columbia","Washington",34,2631,-0.00791855203619909,-0.0287929125138427,-0.0142375421506182,17545
2018-02-28,"90046","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",35,2961,0.00372881355932203,0.00989085948158254,0.0220918191232309,5053
2018-02-28,"78130","TX","San Antonio","Comal","New Braunfels",36,1283,0.00078003120124805,-0.00696594427244582,0.00078003120124805,1647
2018-02-28,"78613","TX","Austin","Williamson","Cedar Park",37,1576,0.000634920634920635,-0.00505050505050505,0.0247074122236671,1629
2018-02-28,"20009","DC","Washington","District of Columbia","Washington",38,2692,-0.00810611643330877,-0.0306085703997119,-0.0351254480286738,15369
2018-02-28,"75052","TX","Dallas-Fort Worth","Dallas","Grand Prairie",39,1192,-0.000838222967309304,0.00760777683854607,0.0945821854912764,1412
