"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-02-28,"10025","NY","New York","New York","New York",0,3649,-0.008693289866884,-0.0232869379014989,-0.0235483007760235,923
2018-02-28,"60657","IL","Chicago","Cook","Chicago",1,3306,0,-0.0383944153577661,-0.0361516034985423,3317
2018-02-28,"10023","NY","New York","New York","New York",2,3846,-0.01003861003861,-0.0331825037707391,-0.0218718209562564,1398
2018-02-28,"75070","TX","Dallas-Fort Worth","Collin","McKinney",3,1932,-0.00258131130614352,-0.00617283950617284,-0.0102459016393443,27611
2018-02-28,"77494","TX","Houston","Fort Bend","Cinco Ranch",4,2200,0.00410771337288909,0.0128913443830571,0.0251630941286114,31105
2018-02-28,"60614","IL","Chicago","Cook","Chicago",5,5184,0.000772200772200772,-0.0204081632653061,-0.0642599277978339,4692
2018-02-28,"79936","TX","El Paso","El Paso","El Paso",6,1006,-0.00099304865938431,0.004995004995005,0.00902708124373119,29274
2018-02-28,"77084","TX","Houston","Harris","Houston",7,1449,0.0020746887966805,0.00694927032661571,0.00625,25578
2018-02-28,"10002","NY","New York","New York","New York",8,4227,-0.00983836964160225,-0.0338285714285714,-0.0109967243799719,264
2018-02-28,"10467","NY","New York","Bronx","New York",9,1834,-0.00108932461873638,0.00163844893500819,0.0813679245283019,1257
2018-02-28,"60640","IL","Chicago","Cook","Chicago",10,2319,-0.0127713920817369,-0.0417355371900826,-0.0580828594638505,2055
2018-02-28,"77449","TX","Houston","Harris","Houston",11,1447,0.0013840830449827,0.0062586926286509,0.0069589422407794,31637
2018-02-28,"94109","CA","San Francisco","San Francisco","San Francisco",12,5949,0.00202122283981809,0.0263975155279503,0.000504540867810293,762
2018-02-28,"11226","NY","New York","Kings","New York",13,2474,0.000404367165386171,0.0126893164142448,0.0403700588730025,1588
2018-02-28,"10016","NY","New York","New York","New York",14,3907,-0.0168595873175642,-0.0482338611449452,0.00179487179487179,1202
2018-02-28,"11375","NY","New York","Queens","New York",15,2782,-0.0193866760662672,-0.0309996516893069,0.049811320754717,5358
2018-02-28,"11235","NY","New York","Kings","New York",16,2404,-0.0033167495854063,-0.00124636476942252,-0.00455486542443064,2682
2018-02-28,"37013","TN","Nashville","Davidson","Nashville",17,1506,0.00132978723404255,0.00534045393858478,0.0386206896551724,19113
2018-02-28,"90250","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Hawthorne",18,2785,0.00541516245487365,0.0167944505293903,0.0703305149884704,9314
2018-02-28,"60647","IL","Chicago","Cook","Chicago",19,2019,-0.00296296296296296,-0.0179961089494163,-0.00639763779527559,5630
2018-02-28,"37211","TN","Nashville","Davidson","Nashville",20,1640,-0.000609384521633151,0.00244498777506112,0.0526315789473684,15797
2018-02-28,"10009","NY","New York","New York","New York",21,4057,-0.00855327468230694,-0.0367996201329535,-0.0160077613388309,339
2018-02-28,"78660","TX","Austin","Travis","Pflugerville",22,1632,-0.00244498777506112,-0.0048780487804878,-0.00970873786407767,22429
2018-02-28,"60618","IL","Chicago","Cook","Chicago",23,2104,-0.0028436018957346,-0.0168224299065421,-0.0348623853211009,8001
2018-02-28,"10029","NY","New York","New York","New York",24,3195,-0.00529265255292653,-0.00930232558139535,-0.00652985074626866,311
2018-02-28,"10011","NY","New York","New York","New York",25,4559,-0.0119202427394885,-0.0521829521829522,-0.0508015823443681,1092
2018-02-28,"10128","NY","New York","New York","New York",26,3528,0.00227272727272727,0.00455580865603645,-0.00395256916996047,1115
2018-02-28,"77573","TX","Houston","Galveston","League City",27,2001,0.00100050025012506,0.00502260170768458,0.00351053159478435,24836
2018-02-28,"77584","TX","Houston","Brazoria","Pearland",28,1885,0.00265957446808511,0.00640683395621997,-0.0151515151515152,22737
2018-02-28,"28269","NC","Charlotte","Mecklenburg","Charlotte",29,1399,0.00143163922691482,0.00575125808770669,0.0424739195230998,22882
2018-02-28,"11201","NY","New York","Kings","New York",30,3162,-0.0134165366614665,-0.0374429223744292,0.0784447476125512,1447
2018-02-28,"79912","TX","El Paso","El Paso","El Paso",31,1258,0.000795544948289578,0.000795544948289578,-0.010228166797797,18943
2018-02-28,"78572","TX","McAllen","Hidalgo","Mission",32,1098,0.0110497237569061,0.0437262357414449,0.0129151291512915,19273
2018-02-28,"94565","CA","San Francisco","Contra Costa","Pittsburg",33,2240,-0.000892060660124889,0.00223713646532438,0.0601041173686701,21004
2018-02-28,"30349","GA","Atlanta","Clayton","Riverdale",34,1170,0.00343053173241852,0.0138648180242634,0.0626702997275204,21812
2018-02-28,"20002","DC","Washington","District of Columbia","Washington",35,2561,-0.00505050505050505,-0.0247524752475248,-0.0284522003034901,1090
2018-02-28,"90046","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",36,5922,-0.000506329113924051,0.00101419878296146,-0.00219039595619208,6008
2018-02-28,"78130","TX","San Antonio","Comal","New Braunfels",37,1478,-0.00202565833896016,-0.00337154416722859,0.0144131777625257,20146
2018-02-28,"78613","TX","Austin","Williamson","Cedar Park",38,1746,0.00172117039586919,0.00114678899082569,0.00402530189764232,22109
2018-02-28,"20009","DC","Washington","District of Columbia","Washington",39,2642,0.00303720577069096,-0.00414624952883528,-0.0127055306427504,570
2018-02-28,"75052","TX","Dallas-Fort Worth","Dallas","Grand Prairie",40,1603,0.00312891113892365,0.0100819155639572,0.036869340232859,23783
2018-02-28,"10462","NY","New York","Bronx","New York",41,1840,0.00987925356750823,0.0250696378830084,0.0395480225988701,1044
2018-02-28,"10456","NY","New York","Bronx","New York",42,1902,-0.000525486074619023,-0.00523012552301255,0.0292207792207792,619
2018-02-28,"37042","TN","Clarksville","Montgomery","Clarksville",43,954,0.00210084033613445,0.00952380952380952,0.022508038585209,24945
2018-02-28,"10003","NY","New York","New York","New York",44,4318,-0.0103140041256017,-0.0406576316374139,-0.0266005410279531,895
2018-02-28,"77429","TX","Houston","Harris","Cypress",45,1754,0.00515759312320917,0.01270207852194,0.00400686891814539,25550
2018-02-28,"11206","NY","New York","Kings","New York",46,2560,-0.0062111801242236,-0.0138674884437596,-0.0206579954093343,383
2018-02-28,"63376","MO","St. Louis","Saint Charles","Saint Peters",47,1473,0.00546075085324232,0.00477489768076398,0.0165631469979296,22501
2018-02-28,"60613","IL","Chicago","Cook","Chicago",48,2586,-0.0208254449072321,-0.0970670391061453,-0.106735751295337,2263
2018-02-28,"77479","TX","Houston","Fort Bend","Sugar Land",49,2336,0.00386764073914912,0.00386764073914912,-0.0262609420591913,25516
2018-02-28,"30044","GA","Atlanta","Gwinnett","Lawrenceville",50,1382,0.00582241630276565,0.0139398385913426,0.046969696969697,21333
2018-02-28,"73099","OK","Oklahoma City","Canadian","Yukon",51,1237,0.00243111831442464,0.00405844155844156,0.0131040131040131,25690
2018-02-28,"77036","TX","Houston","Harris","Houston",52,1533,0.00392927308447937,0.00788954635108481,0.014559894109861,5098
2018-02-28,"77433","TX","Houston","Harris","Cypress",53,1749,0.00632911392405063,0.0156794425087108,0.00459506031016657,24879
2018-02-28,"10463","NY","New York","Bronx","New York",54,2091,-0.010879848628193,-0.0438957475994513,-0.0183098591549296,1227
